id_filial,nome_filial,matriz,razao_social,fone,cnpj,status,cidade,estado,filial_franquadora,nome_estado,long,lat,alt,geometry
1200197,PONTA GROSSA (Av Dom Pedro II),Muniz Auto Center - C.D,VM PONTA GROSSA COMERCIO DE PNEUMATICOS LTDA,(44)99124-6199,53.710.340/0001-72,Ativo,ponta grossa,pr,0,parana,-50.1614420592942,-25.092547,955.176664,POINT (-50.161442059294174 -25.092547)
413632,PORTO ALEGRE,Muniz Auto Center - C.D,MJS COMERCIO DE PNEUMATICOS LTDA,(51)99179-2667,48.142.340/0001-83,Ativo,porto alegre,rs,0,rio grande do sul,-51.2286604637023,-30.0300367747664,42.235674,POINT (-51.228660463702326 -30.030036774766394)
396197,PRAIA GRANDE SP,Muniz Auto Center - C.D,SANTOS E DONIN AUTO CENTER PRAIA GRANDE LTDA,(13)3357-1460,47.729.627/0001-41,Ativo,praia grande,sp,0,sao paulo,-46.4120495836124,-24.0030215,8.682126,POINT (-46.41204958361243 -24.003021499999996)
561399,PRESIDENTE PRUDENTE,Muniz Auto Center - C.D,CAVALCANTI COMERCIO DE PNEUMATICOS LTDA,(18)3203-2379,46229893000142,Ativo,presidente prudente,sp,0,sao paulo,-51.3867655819125,-22.1227435,478.615165,POINT (-51.386765581912485 -22.1227435)
546097,REDENÇÃO,Muniz Auto Center - C.D,MUNIZ AUTO CENTER - REDENÇÃO,(00)00000-0000,00.000.000/0000-00,Ativo,redencao,pa,0,para,-50.0296418255093,-8.0276045,223.681568,POINT (-50.02964182550924 -8.027604499999999)
915060,RIO DE JANEIRO,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS TORRES LINS LUSTOSA LTDA,(21)3738-2357,52.031.562/0001-04,Ativo,rio de janeiro,rj,0,rio de janeiro,-43.2278751249952,-22.8766521181865,11.804057,POINT (-43.22787512499518 -22.87665211818645)
843911,RIO VERDE,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS RIO VERDE LTDA,(64)0000-0000,51578283000194,Ativo,rio verde,go,0,goias,-50.9296809301732,-17.7945434019057,743.307482,POINT (-50.9296809301732 -17.7945434019057)
958013,SANTA MARIA - RS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS SANTA MARIA LTDA,(44)00000-0000,51.928.291/0001-13,Ativo,santa maria,rs,0,rio grande do sul,-53.8086753946629,-29.6855818035457,155.311933,POINT (-53.80867539466287 -29.685581803545695)
1142575,SANTA ROSA,Muniz Auto Center - C.D,SANTA ROSA COMERCIO DE PNEUMATICOS LTDA,(44)00000-0000,53735269000182,Ativo,santa rosa,rs,0,rio grande do sul,-54.4782240987609,-27.866749798923,310.676553,POINT (-54.47822409876086 -27.866749798922992)
937866,SANTO ANDRÉ,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS JF LTDA,(11)00000-0000,51.829.678/0002-01,Ativo,santo andre,sp,0,sao paulo,-46.5308742576295,-23.65751,764.096668,POINT (-46.530874257629534 -23.657509999999995)
1142519,SANTOS SP,Muniz Auto Center - C.D,R.J AUTO CENTER SANTOS LTDA,(00)00000-0000,53.553.383/0001-91,Ativo,santos,sp,0,sao paulo,-46.3313708491907,-23.9337375,16.189961,POINT (-46.33137084919068 -23.9337375)
784171,SÃO BENTO DO SUL,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS PETERLINI LTDA,(47)0000-00000,51230855000140,Ativo,sao bento do sul,sc,0,santa catarina,-49.3869788951345,-26.2494854185392,859.923551,POINT (-49.38697889513452 -26.249485418539198)
660357,SÃO BERNARDO DO CAMPO,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS SAO BERNARDO LTDA,(49)00000-0000,50.832.340/0001-57,Ativo,sao bernardo do campo,sp,0,sao paulo,-46.5502572476783,-23.7103045,772.836969,POINT (-46.550257247678324 -23.7103045)
333398,SÃO JOSÉ,Muniz Auto Center - C.D,MG COMERCIO DE PNEUMATICOS LTDA,(48)3375-7599,46.079.458/0001-89,Ativo,sao jose,sc,0,santa catarina,-48.6160227158664,-27.5903120772487,17.170437,POINT (-48.61602271586641 -27.590312077248697)
54,SÃO JOSÉ DO RIO PRETO,Muniz Auto Center - C.D,R. W. JUVELINO RICI DE AGUIAR & CIA LTDA,(17)3305-5360,29688353000108,Ativo,sao jose do rio preto,sp,0,sao paulo,-49.3813476850258,-20.8126365,504.243066,POINT (-49.38134768502579 -20.8126365)
896133,SÃO JOSÉ DO RIO PRETO (novo),Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS RC RIO PRETO LTDA,(44)00000-0000,518.869.400-00160,Ativo,sao jose do rio preto,sp,0,sao paulo,-49.3813476850258,-20.8126365,504.243066,POINT (-49.38134768502579 -20.8126365)
896191,SÃO JOSE DOS CAMPOS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS PASQUINI LTDA,(12)00000-0000,51790872000131,Ativo,sao jose dos campos,sp,0,sao paulo,-45.8841754014597,-23.1840615,604.884689,POINT (-45.88417540145966 -23.1840615)
